Re,D,U,r,theta,V_norm
4989.77,3.63,1.59,20.56,3.6163,0.9681
1786.02,4.87,2.15,12.27,5.9728,0.8995
3847.58,3.41,1.59,28.42,5.3981,0.9582
2039.56,1.31,1.19,4.71,1.4348,1.0673
2425.38,1.3,1.9,11.91,1.383,1.0342
3156.15,4.81,1.37,44.41,1.264,1.0001
4374.7,2.19,2.83,20.84,5.7962,1.014
4921.21,1.37,2.81,8.1,5.3575,1.0014
3852.95,3.4,1.76,24.64,4.8687,1.028
2117.95,3.49,1.32,28.37,2.4676,0.9919
2135.72,3.59,2.34,9.39,3.1691,0.8685
3701.03,2.07,0.59,13.68,2.9175,0.9222
1231.95,1.06,1.69,1.9,1.5921,1.2495
596.85,4.86,1.34,27.84,3.1732,0.9714
1805.38,2,2.8,5.64,0.1916,0.8894
1471.83,3.7,0.53,11.32,0.8282,1.0367
1516.73,3.83,1.88,17.61,5.5706,0.9883
1206.36,3.44,2.35,17.8,4.7229,1.0552
258.36,2.25,1.71,15.3,2.657,0.9862
138.48,2.08,0.71,4.45,3.2494,0.7995
4939.23,3.39,2.93,19.6,2.3248,1.0427
2167.48,4.46,1.8,13.63,4.6545,1.0869
1952.42,4.79,2.04,30.53,4.9272,1.0284
3414.25,1.42,1.09,9.85,4.7959,1.0189
1130.36,1.62,1.71,10.09,4.5403,1.0313
4752.31,4.78,1.57,37.16,1.2849,1.0033
3942.41,3.95,0.69,17.18,2.1235,1.0127
492.58,4.53,0.77,36.27,2.9521,0.9923
2117.02,1.81,2.59,9.38,2.0784,1.0181
4401.64,3.35,1.1,18.81,4.7434,1.068
4726.42,3.8,0.99,26.67,2.0694,1.0005
2363.64,3.72,1.76,6.16,0.8685,1.0562
3086.39,2.63,2.42,18.58,2.5072,0.9733
876.82,1.06,0.65,7.17,6.157,0.9734
4956.28,3.33,1.94,13.77,1.4193,1.1316
1196.77,2.01,0.8,4.49,3.8463,1.0115
4716.52,2.8,0.59,6.37,2.7204,0.9581
3265.75,4.83,0.63,45.15,0.4463,1.022
3058.3,2.6,2.59,19.1,3.0654,0.977
2587.81,4.36,0.79,11.25,4.4118,1.0923
1191.82,1.75,0.61,7.95,3.2247,0.9518
923.81,3.69,1.59,24.12,5.4796,1.0021
1141.41,4.91,2.61,42.22,1.8154,1.0253
972.87,1.41,1.16,2.63,0.5419,0.8421
3908.94,1.03,1.55,3.63,5.8846,0.9183
1783.12,2.73,0.6,24.78,2.3763,1.0139
336.32,1.37,1.62,2.16,3.6217,0.8811
4847.06,3.99,1.94,12.83,4.9763,1.1369
4424.74,4.66,1.93,44.96,2.0377,1.0285
4642.37,2.74,1.33,18.37,4.4998,0.9301
4974.79,2.03,1.29,7.58,0.8509,1.0042
910.78,2.74,0.77,5.67,1.8303,1.1273
2011.4,3.89,1.42,6.77,0.9092,1.0371
3803.28,1.04,0.75,3.71,5.0971,1.0947
3495.3,3.36,2.42,30.2,1.3989,1.0223
811.78,3.45,2.92,17.39,4.5076,1.0456
4088.37,3.55,2.93,27.07,5.9269,1.001
1160.98,1.97,2.66,18.31,3.3161,0.9741
1157.9,3.86,2,19.16,3.3931,0.9355
2708.02,1.37,2.25,4.27,2.8968,0.915
2985.05,1.8,1.21,10.59,2.0476,1.0105
2921.43,4.51,2.08,41.58,2.9886,0.9602
502.86,3.95,1.64,32.97,3.7876,0.9876
4393.43,1.05,1.71,2.17,6.1952,0.7125
1364.72,1.99,2.39,14.73,5.8921,0.9844
691.1,1.86,1.2,11.82,5.4171,1.0089
4449.3,2.08,1.3,19.19,5.5866,1.0064
4780.47,1.99,2.81,5.06,2.9396,0.9364
4317.53,1.25,0.64,7.55,4.1308,0.9665
4057.1,2.84,1.71,25.45,5.6239,1.0327
3293.45,3.93,2.78,19.6,2.469,0.9933
2776.74,3.43,2.03,19.18,6.0429,0.9911
480.58,3.69,1.87,7.75,2.6125,0.8657
2071.84,1.32,1.12,5.12,3.7767,1.0045
1894.81,4.81,1.36,20.47,4.4598,1.0542
1335.78,4.35,2.63,41.51,5.9727,0.982
3630.93,4.22,1.9,16.47,1.537,1.0651
2504.58,4.29,1.79,23.25,4.6881,1.028
451.18,4.73,0.75,34.09,3.2724,0.9836
1139.91,3.18,0.54,9.15,1.6874,1.0511
3432.13,1.8,2.91,10.15,4.8796,1.0288
426.85,3.47,1.44,26.97,3.4697,0.9886
4263.47,3.97,2.01,35.22,4.153,1.007
2500.98,3.95,0.7,26.96,2.0288,1.0469
2428.9,3.09,2.21,22.18,3.0239,1
2982.42,1.27,2.83,3.28,3.879,1.0018
4132.17,2.48,1.94,23.7,2.5441,1.005
1771.66,4.68,0.82,12.3,1.2464,1.0966
3406.18,3.34,1.95,26.99,6.0422,1.0002
2850.37,3.15,2.42,11.83,3.2136,0.8777
1371.79,2.08,1.52,19.58,4.6114,1.0069
4399.22,2.47,2.7,18.85,2.5827,0.9273
3997.26,4.58,2.12,36.23,2.2314,1.0552
3309.34,3.67,2.75,12.32,2.5583,0.9666
4260.38,4.15,2.06,21.85,2.5711,0.9773
4343.11,2.82,0.83,19.02,3.4192,1.0204
3556.4,3.52,1.27,28.33,3.4147,1.0018
4193.22,1.99,1,4.75,3.1237,0.7768
3502.48,3.82,2.77,37,0.8469,0.9989
3416.7,2.71,2.4,24.57,3.1169,0.9764
3112.13,2.77,2.19,10.52,1.0625,0.9839
3775.95,3.6,1.25,30.55,0.7925,0.9742
835.1,4.75,0.96,28.02,5.86,0.9797
4410.31,1.26,2.39,6.81,3.801,0.987
4365.63,4.3,1.69,17.94,4.1437,0.9607
194.77,2.17,1.06,13.97,2.5245,0.9945
4137.79,2.78,2.04,21.38,5.7113,0.9889
687.91,1.09,0.6,5.43,4.0082,1.0075
1708.84,2.2,1.32,15.1,4.8328,1.0276
3730.37,3.01,1.67,22.41,2.3157,0.9722
845.76,1.22,0.87,9.24,6.0319,0.9885
4098.94,2.96,2.96,5.76,5.1551,1.1475
4169.06,4.71,1.02,41.47,5.3655,0.9661
2561.97,1.42,0.83,7.67,1.0819,1.0343
81.61,4.06,1.01,15.14,1.7025,1.0708
1470.84,2.64,2.42,9.38,1.7946,1.0825
3103.79,3.62,1.56,20.3,1.7022,1.0594
4906.87,2.04,1.91,18.45,5.3747,0.9775
3177.48,1.64,0.55,7.72,0.2003,0.908
1336.03,1.64,0.59,12.93,0.4782,1.0107
3188.33,1.28,1.61,2.98,1.7211,1.2366
2722.93,1.74,2.54,9.67,1.2558,1.0685
3910.23,3.66,2.71,36.31,1.4568,0.9968
579.55,4.53,0.72,36.43,5.0136,1.0061
3817.09,4.26,1.85,14,3.5382,0.8968
2729.27,3.74,2.78,21.55,0.0363,0.924
4816.81,1.44,1.47,5.03,2.6975,0.9451
1742.27,2.16,2.57,10.74,2.5628,1.0125
3181.48,2.24,0.83,18.21,0.7159,0.9935
4663.54,2,2.84,16.11,4.2483,1.0234
557.42,3.06,2.38,10.52,4.4114,1.0784
4689.28,3.14,2.85,29.34,4.5295,0.9918
3455.03,2.43,2.19,15.87,4.5771,1.0929
385.79,2.42,1.41,11.42,0.0003,0.963
1539.77,4.31,2.85,24.88,5.9937,0.9729
3555.45,4.16,1.19,27.62,5.1158,0.9953
383.39,2.23,1.33,13.97,5.6799,0.9939
2931.74,4.66,2.25,26.23,0.0983,0.9589
1762.12,4.81,2.41,27.87,5.8676,0.9598
3123.53,2.31,2.82,6.92,5.0881,1.1305
276.42,2.42,1.01,20.33,5.2604,1.0099
4364.11,3.02,2.49,18.45,0.5861,0.9967
4868.77,4.76,2.35,12.46,4.6419,1.0849
4845.95,4.51,0.66,36.1,6.0313,0.9268
3760.78,1.41,1.47,13.29,4.2634,1.0111
693.93,2.57,1.21,24.56,3.5849,0.9896
3803.4,3.21,1.26,14.9,5.9416,0.9514
171.71,3.01,2.96,7.99,2.7831,0.8597
159.51,1.78,2.11,10.49,3.7655,0.9924
1651.87,4.44,2.29,10.9,2.9929,0.8622
2468.78,3.71,2.94,35,5.8612,0.9681
3863.52,4.35,1.44,13.32,0.4781,0.9292
3432.31,4.44,2.5,16.18,3.1486,0.9509
2257.22,3.99,1.59,19.79,4.3162,1.0391
1404.45,2.76,2.67,13.11,4.9757,1.06
4985.77,3.44,0.95,28.41,3.6632,1.0137
2159.6,1.64,2.87,8.83,5.7109,1.0261
2284.37,3.69,1.05,10.9,5.9187,0.9348
859.94,1.72,1.32,6.48,0.4041,0.9619
3984.31,3.78,2.39,22,2.5282,0.9776
3483.73,1.92,1.48,5.28,0.1474,0.874
1142.81,1.47,2.02,9.85,2.0698,1.0227
457.79,1.66,1.61,10.48,3.3732,0.985
3418.47,1.01,2.36,7.64,5.7227,1.0175
3289.83,3.87,1.07,36.7,5.3191,1.0012
1402.63,3.93,0.65,36.37,0.8011,1.0198
4756.77,3.06,1.25,29.19,0.5845,0.8915
797.74,1.65,1.69,5.89,3.7025,0.9573
2190.06,1.33,0.92,3.49,3.3434,0.8856
4720.9,1.08,1.39,4.38,1.6737,1.0599
2127.65,1.66,1.5,15.15,5.6514,1.0093
3210.7,4.56,0.64,44.55,5.8268,0.9957
2018.09,1.97,1.96,17.31,2.5297,1.0072
1407.37,2.42,2.71,5.89,5.5939,0.9895
4920.69,1.42,0.88,13.58,2.4124,1.0269
2076.2,1.89,1.99,9.63,4.6296,1.0586
4475.79,3.08,2.16,4.86,2.9904,0.6831
1188.28,3.43,1.55,18.05,0.7702,1.0235
1104.87,1.98,2.25,3.75,5.8304,0.8294
204.11,1.23,1.53,7.54,2.8532,0.9783
3275.75,2.56,1.76,11.23,4.6149,1.0013
1874.21,1.94,0.52,10.7,2.307,0.9938
4328.57,1.88,2.23,12.61,0.1186,0.9701
2392.39,4.84,2.15,43,0.6317,1.0214
4842.56,3.47,0.6,24.69,3.1178,0.9507
968.35,3.23,1.42,16.75,4.3352,1.0351
4349.68,2.66,2.95,22.54,2.1032,1.0068
3894.15,2.72,1.55,24.98,4.3699,1.0023
3866.06,3.16,1.75,7.97,4.3897,1.143
4231.68,3.79,2.77,22.8,4.423,1.0066
3817.07,3.81,2.29,14.92,3.0946,0.9188
3149.79,1.69,1.96,3.2,5.7484,0.8034
699.66,3,2.49,21.55,3.0737,0.9791
211,2.65,2.66,23.39,2.8291,0.9886
4608.2,4.48,1.64,12.93,1.2527,1.0736
3102.42,3.53,1.69,29.64,1.9331,1.0236
3992.86,3.13,1.47,27.4,0.266,1.0151
2433.54,1.46,2.92,13.55,3.9806,1.007
630.68,3.42,2.24,12.85,1.5616,1.0772
669.67,1.47,0.71,13.49,1.9111,1.0131
3443.55,2.35,2.66,9.93,4.8432,1.044
2180.01,1.57,1.7,9.73,2.056,1.0049
1042.6,3.77,0.67,7.27,1.5218,1.2008
2483.39,1.83,1.87,3.42,1.0622,1.1396
367.83,2.57,1.54,19.57,4.8686,1.0215
2930.76,4.58,2.69,24.19,0.815,1.0377
1381.52,1.82,1.01,6.68,2.851,0.9316
3997.92,3.03,2.57,9.45,3.1851,0.8935
1586.29,2.68,1.89,19.26,4.319,1.0244
2303.34,1.07,0.64,1.61,3.979,1.172
107.52,4.17,2.93,34.83,5.0939,1.0114
408.61,1.28,1.78,2.77,0.2812,0.7907
1992.84,2.9,1.23,9.06,1.8626,1.0618
2425.7,3.24,1.67,15.51,1.7601,1.0165
3020.1,3.51,2.64,19.75,0.9175,1.017
1493.73,3.75,1.26,16.96,1.817,1.0486
3490.16,2.01,0.98,8.51,1.9463,1.0033
4307.61,1.04,0.82,10.08,3.2791,0.9917
3910.26,3.89,1.24,27.08,4.1702,1.0345
246.11,3.14,2.45,5.34,2.3945,0.9478
2428.51,4.34,1.68,22.4,4.5206,1.0618
569.4,4.29,1.07,38.3,2.1122,1.0038
1248.12,4.37,0.92,17.77,1.8239,1.0691
4933.98,2.94,1.33,6.77,3.4004,0.8153
755.35,2.33,2.85,18.55,0.149,0.9771
2519.5,4.17,1.36,27.71,0.5013,0.9765
3109.87,2.81,2.97,17.81,2.6262,0.9845
3527.2,1.73,1.71,3.39,5.9245,0.7715
2820.26,4.42,0.95,11.91,4.5334,1.1339
98.37,4.53,2.73,30.77,0.5537,0.9908
1665.98,2.87,1.65,9.36,5.3176,1.0339
2612.67,1.3,2.27,7.54,4.6012,1.0274
484.94,2.55,2.96,15.64,3.8387,0.9874
1785.6,4.21,0.63,16.48,5.1541,1.0497
214.36,4.61,0.74,44.05,2.5391,0.9959
438.96,1.81,2.3,15.71,1.3917,1.0196
2014.77,1.27,1.2,9.69,3.2171,0.9641
706.94,4.51,0.96,9.75,3.4485,0.8403
2859.33,2.56,0.6,6.14,3.3824,0.8696
3462.85,3.17,0.55,18.02,3.5505,0.9911
4012.9,4.87,2.44,13.96,5.9609,0.8657
1040.74,1.27,0.84,12.43,5.669,0.9806
879.04,3.59,1.67,10.23,5.5023,1.0639
567.61,1.3,2.01,7.32,5.0355,1.0333
3200.33,2.5,1.57,11.5,5.9277,0.885
3547.05,4.22,0.57,29.23,0.6189,0.9771
206.35,2.73,2.46,7.1,1.6658,1.0102
4684.25,4.99,0.53,25.73,3.1105,0.9402
307.26,3.24,2.4,12.41,5.3189,1.0243
2729.42,2.28,2.73,20.67,3.174,0.9801
3559.85,1.88,1.58,3.47,4.7,1.2593
4361.3,2.4,1.84,22.26,0.8731,0.9277
3584.73,2.49,1.69,21.37,1.586,1.0513
4018.55,1.27,1.47,5.14,4.5979,0.986
1730.28,2.48,2.72,20.34,1.0351,1.0115
4083.38,2.86,2.73,5.04,2.2076,1.1701
446.57,3.89,1.34,37.81,1.6642,1.0039
4479.34,3.63,2.04,21.67,2.1982,0.9676
2760.58,3.84,2.82,15.64,4.4505,1.086
4095.62,1.03,2.91,4.74,2.3113,1.0272
2288.98,1.87,1.77,3.86,3.4888,0.8235
3235.71,3.65,1.63,36.14,0.6279,1.0358
2655.69,2.94,1.2,5.38,5.0581,1.2562
3671.37,1.02,2.9,7.22,2.3241,1.0114
454.07,4.22,0.86,22.2,4.0749,1.007
348.74,4.09,1.95,39.14,4.5578,1.009
1273.16,3.19,1.21,11.47,1.3173,1.0721
839.75,1.27,1.2,7.62,5.5586,0.9954
4365.33,4.07,1.51,22.77,3.8719,1.038
1135.11,3.33,3,24.93,2.6938,0.9715
4880.53,4.13,0.64,8.58,1.1456,1.0776
1717.63,4.01,1.95,12.61,5.9207,0.9299
951.48,4.21,0.71,14,4.7442,1.0857
3959.01,3.07,0.89,23.88,1.3071,0.9895
3310.6,1.56,1.6,4.85,2.1219,0.9923
2516.07,3.68,1.78,23.49,5.0873,1.0186
2799.05,3.48,1.15,11.59,4.3711,1.07
3610.05,3.97,1.29,35.02,4.8116,1.0362
1180.85,1.68,0.72,15.97,2.7721,0.9927
4981.85,1.78,1.26,10.51,4.5018,1.0196
4875.23,4.56,2.92,20.5,2.4284,1.0515
3269.11,4,2.86,13.96,1.3274,1.0304
1037.74,4.63,1.34,8.91,3.9752,1.1081
3417.13,4.03,1.93,15.26,6.1325,0.8764
407.38,3.39,2.77,23.93,1.9516,1.0112
201.73,3.62,0.52,21.83,2.8964,0.9734
1325.53,4.56,2.53,43.4,4.2349,1.0168
2339.98,3.32,2.87,16.14,3.4024,0.9621
4347.95,3.53,0.73,26.11,5.2994,1.0066
3649.49,1.63,0.9,9.2,4.7862,0.9905
3726.4,2.9,2.9,16.96,0.3663,0.9674
2156.19,3.87,1.84,14.6,6.2733,0.9134
1762.38,2.08,0.54,11.18,4.7275,1.0415
1886.64,1.81,1.14,9.95,5.4281,0.9864
4938.87,2.26,1.62,16.93,4.0916,1.0716
248.54,1.97,2.23,18.67,5.3802,0.9985
4341.81,1.86,2.33,8,0.7061,0.9579
2914.44,2.7,2.99,5.02,2.1849,1.172
2221.15,4.63,1.22,26.48,5.5067,0.9903
3640.03,3.03,1.85,18.56,1.267,0.9741
2459.01,1.75,1.83,5.14,0.4916,0.9401
4373.45,1.31,1.51,10.42,4.9519,0.9932
4508.47,3.78,0.92,37.36,5.2495,0.9672
2137.52,2.53,2.94,24.15,1.022,0.9816
1420.3,4.29,2.63,13.61,5.368,1.0692
2982.13,3.64,1.75,32.53,4.3151,1.0013
4566.2,4.18,2.01,31.34,3.2678,0.8948
1092.78,2.09,1.07,11.19,5.2166,1.0353
3133.68,3.77,1.86,22.98,2.6342,1.0052
3176.22,2.06,2.24,17.93,1.2189,0.9857
3678.91,4.76,1.79,26.55,1.7898,0.9948
701.26,3.55,2.98,16.57,3.174,0.959
3593.33,2.3,2.03,13.08,3.3384,0.9627
4549.71,2.08,1.43,13.35,5.0616,0.9311
939.43,1.76,2.43,5.48,4.9722,1.1079
1225.84,3.78,0.93,34.6,3.6528,0.9885
4858.41,1.87,1.46,13.56,4.9058,1.0904
945.84,3.38,1.37,23.27,1.2049,1.0279
4279.21,2.06,1.58,4.83,0.3146,0.8098
2486.78,3.65,2.45,24.21,5.4892,1.0263
1273.79,4.26,1.71,10.77,0.4747,0.8896
4360.21,4.11,2.49,8.92,1.55,1.1282
2254.26,4.04,1.94,24.19,4.3688,1.0122
2598.35,1.75,1.36,8.62,2.5726,0.9937
1828.21,1.35,2.52,8.8,5.506,0.9914
2985.11,3.8,1.1,8.57,1.8723,1.1492
859.44,2.47,1.06,12.77,0.0746,0.9728
1985.85,2.73,1.76,8.15,1.8891,1.073
4848.59,1.12,1.15,11.12,3.6322,0.9535
1327.76,2.04,0.52,12.78,2.3621,1.0093
3300.85,1.13,2.12,8.33,3.3607,0.9898
1659.69,4.52,1.78,19.27,5.5078,0.9586
3878.69,1.97,1.61,4.55,5.7333,0.9401
697.82,3.23,2.92,31.63,1.6712,1.013
4850.61,1.16,1.93,4.55,2.9037,0.944
2296.26,3.67,2.66,18.71,3.4504,0.9894
1218.45,2.29,0.85,16.1,5.9634,0.9756
413.81,4.59,1.92,7.85,6.2745,0.5879
890.3,4.55,2.67,38.18,1.4791,1
2622.88,2.3,1.96,13.95,4.5677,1.0368
1718.17,4.6,2.3,17.79,2.3752,1.0332
4152.97,4.98,1.43,10.09,0.0509,0.6882
2182.89,4.3,0.73,12.39,0.0581,0.8628
1281.14,4.38,1.64,39.89,2.8938,0.9803
3104.87,2,1.49,14.63,3.0683,0.9856
3548.55,3.31,2.67,11.98,0.1418,0.8894
876.86,1.27,1.11,2.61,4.3161,1.2494
879.72,1.38,2.92,10.17,1.8473,1.0232
231.52,5,2.9,31.8,3.5179,0.9834
3695.19,2.31,1.12,11.39,1.8907,0.9678
3335.83,3.99,1.37,18.33,1.0501,1.058
2399.42,4.23,2.74,14.13,2.5583,0.9908
4228.64,4.43,2.92,31.87,1.4594,1.054
4038.07,4.99,1.61,48.66,3.3603,1.0055
2947.5,1.97,1.3,5.89,1.2493,1.0897
4347.94,1.16,1.82,7.64,3.1944,1.0219
1068.91,2.64,2.22,13.5,0.9888,1.0364
604,1.52,1.18,8.05,4.2159,1.0141
1385.26,1.09,2.34,3.99,4.7371,1.0895
332.58,2.44,0.63,20.79,0.6936,0.9973
2679.29,4.13,0.62,23.26,2.9393,0.9675
4686.2,3.26,1.47,19.98,0.4453,0.9114
244.75,2.25,1.38,9.21,3.7585,0.9812
654.44,3.62,1.29,11.02,1.6613,1.0997
2288.39,1.93,1.73,4.3,3.3152,0.8053
4672.68,1.06,1.3,8.01,3.2513,0.9317
1614.97,4.06,0.98,12.85,5.8079,0.9383
2560.81,3.49,1.27,25.74,3.45,0.9746
255.79,4.05,2.94,19.51,3.6631,0.9793
784.3,1.16,1.53,5.82,2.5237,0.9751
4933.82,4.35,1.61,23.86,5.9632,0.9022
4827.34,3.48,1.94,16.09,4.8832,1.0616
74.45,3.25,2.96,7.66,1.7933,1.0065
4761.47,3.5,1.1,14.46,5.3043,1.0747
3213.64,4.46,2.2,31.84,2.7168,0.9944
4346.2,3.35,2.29,23.97,5.2067,1.0372
2300.96,3.32,2.02,13.07,5.1704,1.0731
2602.2,4.96,0.72,26.85,1.1867,1.0168
2469.79,4.03,2.19,12.66,4.4054,1.0701
3350.98,2.77,0.66,9.11,1.8262,1.1108
741.27,3.83,1.99,6.49,1.8692,1.2171
198.37,2.56,2.35,23.33,1.862,1.0097
1574.25,1.92,1.03,6.3,4.5589,1.1103
3538.17,3.39,2.6,11.63,1.444,1.0748
1049.17,4.71,0.58,18.27,0.0057,0.9338
3383.49,4.72,2.61,12.18,4.494,1.1439
4851.06,2.37,1.65,16.42,1.0756,0.9662
514.81,3.11,1.04,6.65,0.6565,0.8988
3379.38,1.85,0.83,4.88,1.4924,1.1831
2246.56,4.98,2.88,34.78,2.387,1.0089
4347.3,4.92,0.68,21.6,2.9902,0.9519
926.89,3.6,1,27.05,0.28,0.9836
3478.5,4.22,1.37,26.31,6.0983,0.9876
4198.67,3.86,2.05,14.19,4.4992,1.0993
4725.84,3.37,1.86,23.72,2.0307,1.0412
3432.08,1.21,0.81,3.02,2.0024,1.0955
2511.02,2.82,1.22,17.08,2.8183,0.9866
3108.34,3.7,1.1,19.29,3.9348,1.0162
4351.08,3.71,1.03,14.01,0.9197,0.977
2874.52,2.49,1.53,16.54,1.1871,1.0213
200.42,4.77,2.26,42.45,5.4,0.9982
4658.2,1.67,1.04,16.68,1.6101,1.0325
3463.16,3,1.42,20.01,2.3888,1.0217
3398.74,3.76,1.48,18.59,5.4744,1.0282
1117.59,3.79,2.94,12.94,4.1667,1.0379
3311.48,3.59,2.89,13.25,2.147,1.0423
1999.63,2.1,2.5,11.71,4.2958,1.0504
3273.6,1.62,1.1,7.51,0.1237,1.001
577.64,3.54,0.67,32.84,4.6222,1.0113
3306.33,3.4,1.29,15.73,3.06,0.9586
4997.1,1.72,1.17,8.03,5.1094,1.0881
288.65,3.82,1.76,18.19,5.9982,0.9588
4887.01,2.82,2.44,24.29,5.8169,0.9762
2064.19,3.67,2.65,25.81,5.7131,1.0193
4360.23,4.35,2.61,29.23,3.2181,1.0206
3922.81,1.68,1.4,7.29,2.2628,1.0257
2856.73,1.08,2.22,9.1,2.9219,0.9443
3705.32,4.12,1.28,7.52,4.3347,1.2379
4398.65,3.44,0.65,30.61,5.5543,0.9727
2050.49,3.8,2.25,22.25,1.3005,1.0319
1668.81,4.35,0.52,21.26,5.7692,0.9655
3354.59,4.21,1.52,24.11,5.1219,0.9867
4048.84,4.84,1.32,34.74,6.1503,0.8977
3823.31,3.14,2.23,5.06,5.5308,0.9874
3999.18,2.95,2.42,26.31,1.7589,0.9957
2206.14,2.61,1.26,13.81,0.6657,0.9956
4098.28,1.61,2.53,7.13,0.7052,0.993
645.03,3.29,1.23,8.8,1.8298,1.0312
2745.22,2.11,1.62,11.04,3.859,0.9611
78.51,4.69,2.32,26.79,5.0537,1.0231
1656.7,3.33,2.23,16.43,5.6502,0.9765
1863.98,3.37,2.97,24.51,3.9192,1.0067
2011.05,2.42,1.06,12.29,0.0354,0.9453
3492.56,1.21,2.16,11.68,1.1707,1.0685
1973.36,1.13,2.02,7.43,0.6266,1.0133
2271.03,2.69,2.79,22.53,2.2828,1.0205
1225.84,1.34,0.89,3.25,3.1501,0.8295
1897.6,3.43,2.38,16.72,0.2727,0.993
1174.98,4.52,1.92,19.74,2.1896,1.0158
412.32,4.53,1.19,28.73,1.1258,1.0157
3037.07,3.64,1.69,32.07,4.0657,1.0088
3357.65,1.84,1.33,4,2.9171,0.8359
3116.48,4.45,1.95,9.42,3.1122,0.797
2344.3,4.54,2.72,39.66,2.6873,0.9808
1929.94,1.79,1.92,5.91,6.0068,0.9132
4323.5,3.95,2.08,28.38,1.3492,1.0452
2619.45,2.15,1.8,13.12,3.2463,0.9926
2421.95,4.21,0.63,36.12,4.6245,1.0039
176.93,4.99,1.08,12.79,3.4988,0.9269
1739.18,1.12,1.73,2.92,5.8372,0.9199
1931.97,4.59,1.28,28.61,2.3748,1.0114
2024.17,3.49,0.95,33.31,2.9134,1.0267
2921.85,4.89,1.76,24.6,0.5562,0.9481
2691.33,2.86,1.31,12.24,3.8265,0.9791
3059.13,4.39,1.15,29.22,1.8109,1.0082
3836.17,1.25,1.66,11.76,1.0073,1.0569
4074.28,2.34,0.83,20.17,3.4214,0.9872
3604.71,1.27,2.82,12.63,3.3446,0.958
4779.84,4.9,2.67,8.29,0.4767,0.7867
140.25,4.27,2.27,10.5,4.387,1.2757
1019.1,4.41,0.77,29.46,3.9193,0.9874
87.44,4.75,2.44,40.27,1.1876,1.0093
3255,1.34,2.52,5.26,2.9495,0.9966
4495.25,2.54,2.42,8.98,4.5259,1.0923
1255.24,1.28,0.78,10.52,3.3265,0.9875
4638.82,1.84,2.11,3.65,2.4849,0.9546
348.32,1.92,2.59,8.9,2.0253,1.0302
4675.46,2.88,1.94,16.68,3.8352,1.0081
1790.53,2.07,2.12,12.99,5.9006,0.987
552.03,1.4,1.65,10.8,4.2207,1.0101
2455.07,1.67,1.82,7.54,0.4696,0.9932
1321.04,1.59,0.59,10.66,2.8946,0.9808
1460.12,4.89,2.1,31.68,5.5972,0.9813
1571.09,4.04,0.7,24.85,0.5935,0.9808
4024.98,4.87,1.59,33.83,6.2133,0.8998
2718.85,2.76,1.23,10.22,5.9632,0.9977
1590.97,2.11,1.86,4.69,0.4918,0.8921
3071.15,4.19,0.83,10.54,5.8648,0.8762
3594.95,2.31,2.23,7.86,2.2816,1.0062
1399.49,2.2,2.49,12.64,5.3075,1.0027
2097.07,1.93,0.91,16.68,2.6288,1.0255
653.34,1.52,0.76,11.33,2.77,0.9776
946.69,2.03,0.86,16.63,3.9851,1.0029
3421.53,2.42,2.69,10.86,4.8662,1.0438
948.12,3.7,1.82,18.26,0.2123,0.9706
2649.56,1.25,1.67,6.06,3.7269,0.9814
3559.78,1.84,0.77,5.77,1.1733,1.0113
579.04,4.24,2.12,8.56,2.1737,1.0329
2858.2,1.59,2.67,10.36,2.1864,0.9803
1319.99,2.37,2.57,23.49,2.9472,0.9916
4816.49,4.46,2.07,13.01,2.0994,1.1306
2443.55,1.62,0.69,3.07,0.6746,0.8813
4039.66,1.33,0.78,10.82,0.915,0.9717
2773.62,2.94,0.62,10.72,0.2101,0.9165
264.89,2.21,1.14,18.9,2.9547,0.9863
3184.1,3.25,0.84,24.35,5.997,1.0086
4759.45,4.22,1.15,40.21,0.7268,0.9905
3027.98,1.55,1.46,7.71,5.9456,0.9814
4104.98,3.32,2.86,23.68,4.6078,0.9936
4426.82,3.02,2.03,16.47,4.0055,1.016
1178.99,1.58,2.59,10.81,4.0544,1.0147
1099.62,3.5,2.28,18.6,5.1945,1.0125
3074.36,2.09,0.78,6.5,0.6718,1.0058
2084.59,2.95,2.34,17.17,3.1715,0.9716
4207.31,1.33,1.19,7.97,4.38,1.066
4505.11,2.84,2.1,23.81,3.6871,0.9844
1799.44,2.23,1.35,17.25,5.2325,1.0154
1222.51,4.29,2.99,30.64,0.4541,0.9876
3913.6,1.23,1.16,3.03,4.3398,1.126
1410.29,2.67,1.2,20.39,3.3554,0.988
4121.94,2.83,2.83,16.3,2.3823,1.021
2147.5,3.9,0.56,35.49,2.138,0.9783
3354.37,3.3,2.24,30.73,3.9008,1.0476
522.9,3.67,2.31,7.22,5.5983,0.9902
3138.1,4.11,2.59,34.82,3.1176,0.9646
2286.25,4.45,2.94,8.1,5.1819,1.1742
2953.71,2.26,2.94,10.42,2.5268,0.9975
881.67,3.15,0.66,19.26,0.6434,1.0067
3697.53,4.36,2.55,12.03,0.3865,0.8401
4320.85,4.96,2.12,38.89,0.3225,0.9651
1122.86,4.56,2.12,7.16,2.3886,0.9953
523.79,2.49,0.82,7.29,2.1189,0.9781
167.01,1.78,2.13,11.46,4.5109,1.0227
3227.76,2.96,2.96,22.4,4.6673,1.0687
3055.12,3.97,2.78,36.86,0.3195,0.9944
2756.15,2.97,1.6,22.27,1.3894,1.0454
1198.14,2.93,0.6,21.15,1.7232,1.0254
